,state,country,lat,long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20
194,,Serbia,44.0165,21.0059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,12,19,35,46,48,54,64,82,102,133,169,219,245,285,365,383,456,649,728,769,884,1032,1140,1437,1580,1857,2142,2386,2601,2801,3034,3306,3550,3969,4371,4774,5215,5046,5240,5443,5635,5783,5985,6070,6245,6476,6704,6904,7069,7259,7487,7487,7747,7720
195,,Seychelles,-4.6796,55.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,6,7,7,7,7,7,7,7,7,8,8,8,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5
196,,Singapore,1.2833,103.8333,0,1,3,3,4,5,7,7,10,13,16,18,18,24,28,28,30,31,38,43,38,35,43,50,54,57,53,52,50,50,48,48,38,38,38,31,31,31,30,34,30,32,32,39,52,60,72,72,82,82,82,103,107,121,134,152,199,231,261,290,309,363,400,469,509,547,602,629,648,683,752,779,827,886,983,1025,1098,1211,1444,1609,1763,1964,2323,2631,3037,3734,4331,5241,5809,7202,8275,9233,10242,11107,11679,12552,13314,13809,14439,14910,15817,16184,16779
197,,Slovakia,48.669,19.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,7,10,16,32,44,54,63,72,104,122,136,177,178,179,197,209,224,267,290,312,329,360,396,420,439,460,474,524,566,664,676,690,703,717,660,720,706,802,865,865,920,909,927,946,1022,988,970,967,960,941,885,849,822,775,765
198,,Slovenia,46.1512,14.9955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,16,16,31,57,89,141,180,218,252,274,274,285,340,382,412,439,476,513,546,613,665,709,735,777,816,810,844,876,890,889,921,931,953,978,990,1002,1005,1012,1022,1033,1064,1057,1064,1065,1070,1069,1076,1082,1088,1093,1098,1099,1099,1105,1109,1106,1102
199,,Somalia,5.1521,46.1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,4,4,4,6,6,6,6,7,10,10,19,19,22,56,56,73,73,108,126,154,225,274,274,304,304,364,403,444,481,534,542,542,606,646
200,,South Africa,-30.5595,22.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,7,13,17,24,38,51,62,62,116,150,202,240,274,402,550,697,915,1138,1155,1247,1292,1317,1325,1407,1401,1481,1549,1579,1641,1732,1821,1569,1593,1738,1835,1978,2062,1654,1830,2079,2201,2187,2352,2515,2405,2668,2802,2986,3230,2830,3174,3471,3453,3664,4103
201,,Spain,40.0,-4.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,4,11,13,30,43,82,118,162,218,254,393,460,626,1013,1628,2040,2039,4906,5679,6992,9070,10187,12206,16026,17779,21874,24421,30250,33283,40501,46406,51224,54968,58598,63460,68200,72084,74974,77488,80002,80925,82897,84689,85407,85610,86524,87312,87231,87616,86981,88083,90836,96040,96886,100864,98771,100382,100757,101617,88111,87295,86072,85069,84403,79695,76842,76842,74234,73300
202,,Sri Lanka,7.0,81.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,9,17,27,43,50,57,70,76,79,94,100,99,99,99,103,105,105,124,122,126,131,134,138,135,137,138,134,129,137,147,154,165,168,163,160,161,168,199,201,218,254,304,335,396,455,478,506,502,521,526,527
203,,Sudan,12.8628,30.2176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,4,5,4,4,3,4,6,6,8,8,10,10,11,13,15,15,21,23,23,23,23,50,50,87,87,115,144,144,177,196,232,262,315,372,451,499,499
204,,Suriname,3.9193,-56.0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,4,5,5,7,8,8,8,8,8,8,9,10,10,9,9,9,9,9,6,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,0
205,,Sweden,63.0,16.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,7,12,14,15,21,35,94,101,161,203,247,354,498,597,812,958,1018,1096,1182,1268,1412,1607,1727,1897,2005,2234,2448,2747,2948,3326,3574,3866,4239,4605,5157,5568,5865,6224,6524,6897,7527,8143,8434,8883,9203,9648,10031,10343,10657,11266,11761,12295,12647,13007,13517,14184,14410,14980,15441,15647,16261,16835,17501,17862,18408,18633
206,,Switzerland,46.8182,8.2275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,8,18,27,42,54,87,110,210,264,332,369,485,644,644,1124,1342,2182,2182,2669,2985,4019,5225,6485,7245,8544,9624,10613,11489,11167,12282,12934,13740,14349,14313,14278,14169,13424,13970,12836,12728,12585,12503,12449,11971,11609,10850,11062,9697,9551,9351,8936,8547,7915,7185,6859,6347,6088,5995,5651,5299,4965,5091,4449,4051,3855,3643
207,,Taiwan*,23.7,121.0,1,1,3,3,4,5,8,8,9,10,10,10,10,11,11,15,15,16,17,17,17,17,17,16,16,17,19,19,20,21,23,23,25,24,25,26,26,27,29,30,28,29,29,31,32,32,31,29,29,30,28,29,32,38,46,54,77,81,107,123,139,165,184,204,221,236,251,266,262,278,285,289,293,300,308,311,314,313,308,285,280,273,278,263,265,234,223,214,225,213,202,184,168,158,148,142,133,116,112,101,99,102,98
208,,Tanzania,-6.369,34.8888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,6,6,12,12,12,12,13,12,13,13,18,17,18,17,16,16,18,20,18,19,19,24,24,24,39,43,73,79,131,131,152,233,233,263,263,241,241,241,241,241,297,297,297,297,297
209,,Thailand,15.0,101.0,2,3,5,7,6,6,9,9,9,14,14,14,14,20,20,20,20,22,22,22,23,23,21,21,21,20,20,20,20,20,18,18,14,14,15,18,18,13,14,13,11,11,11,15,16,18,18,18,19,24,35,39,46,78,111,135,169,229,279,368,554,676,771,860,953,1034,1142,1284,1286,1299,1254,1355,1347,1373,1353,1401,1343,1451,1451,1427,1348,1295,1251,1167,1103,1033,964,899,790,746,655,425,359,309,309,277,270,232,228,216,187,180,176
210,,Togo,8.6195,0.8248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,15,15,17,19,22,22,23,23,23,28,23,24,20,20,21,21,32,39,44,46,48,48,44,45,42,43,31,30,30,27,25,24,26,23,25,28,30,30,30,38,42,48,48,48
211,,Trinidad and Tobago,10.6918,-61.2225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,7,9,9,48,49,50,57,59,64,63,70,74,78,83,84,88,91,96,96,96,98,98,100,100,92,89,89,88,87,86,86,85,85,84,79,70,59,59,54,53,49,49,37,36,25,20,15
212,,Tunisia,34.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,5,7,7,16,18,18,20,24,29,38,53,59,71,85,109,166,189,219,268,302,301,381,406,436,472,530,547,569,575,579,593,621,614,633,649,670,702,742,784,784,798,698,698,681,690,690,694,695,649,656,646,648,641,644,643
213,,Turkey,38.9637,35.2433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,6,18,46,97,189,355,661,1206,1492,1828,2348,3528,5564,7224,8981,10497,13074,15069,17364,20012,22647,25453,28242,31802,35568,39232,43600,48101,52312,55796,58909,62200,65461,68146,69986,72313,75410,78414,79821,80808,80575,79485,78185,75570,72852,70468,68144,65326,62780,59497
214,,Uganda,1.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,9,14,14,23,30,33,33,44,44,45,48,48,52,52,52,53,53,53,49,50,47,47,43,35,36,33,27,18,23,18,28,29,29,33,32,27,29,31,33,36,37
215,,Ukraine,48.3794,31.1656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,6,12,12,14,26,43,69,69,93,139,190,300,342,459,527,618,761,856,1023,1168,1243,1253,1389,1581,1790,2073,2359,2605,2912,3155,3513,3859,4291,4698,4961,5200,5597,5994,6479,6664,7142,7568,7925,8179,8513,8907,9176,9634,10077
216,,United Arab Emirates,24.0,54.0,0,0,0,0,0,0,0,4,4,4,4,5,5,5,5,5,5,7,7,8,8,7,7,7,5,5,5,5,5,5,5,9,9,9,9,9,9,14,16,16,16,22,22,24,24,38,38,38,62,57,68,68,68,75,75,75,87,109,107,113,113,158,201,279,279,351,414,509,545,597,745,920,1147,1370,1645,1898,2161,2408,2708,2926,3128,3421,3644,3972,4298,4695,5077,5077,5454,5862,6266,6640,7063,7457,7855,8295,8667,9110,9502,9947,10384,10816,11274
217,Bermuda,United Kingdom,32.3078,-64.7505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,6,6,7,13,15,15,20,25,22,22,24,21,21,23,20,20,13,19,19,19,24,22,22,43,43,43,43,46,44,44,55,55,55,65,65,60,60,57,60,60,56,57
218,Cayman Islands,United Kingdom,19.3133,-81.2546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,2,2,4,5,7,7,7,7,7,11,13,21,27,27,33,33,37,38,38,38,38,38,46,46,47,47,53,53,53,53,58,58,58,58,61,61,61,61,59,62,62,63,63,63
219,Channel Islands,United Kingdom,49.3723,-2.3644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,6,6,6,11,14,32,32,36,36,46,65,87,96,106,139,138,169,190,215,244,276,289,294,305,313,349,350,374,379,379,363,365,377,390,394,391,216,185,197,194,158,158,138,142,113,111,91,96,97
220,Gibraltar,United Kingdom,36.1408,-5.3536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,6,8,8,8,13,13,10,21,22,41,42,51,35,35,47,42,49,46,51,57,53,60,63,58,45,45,45,36,27,27,27,21,12,12,12,5,4,2,5,10,10,10,10,13,13,12,12
221,Isle of Man,United Kingdom,54.2361,-4.5481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,13,23,23,25,29,32,42,49,60,67,94,113,125,126,83,76,75,97,97,112,114,109,111,101,126,118,111,99,91,89,80,70,60,47,43,40,36,34,34,23,27,28
222,Montserrat,United Kingdom,16.7425,-62.1874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,6,6,6,6,9,9,9,9,9,9,10,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,3
223,,United Kingdom,55.3781,-3.4360000000000004,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,8,8,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,15,20,23,36,40,51,85,115,163,206,273,321,382,456,456,798,1140,1140,1543,1950,2626,2689,3983,5018,5683,6650,8077,9529,11656,14541,17087,19520,22139,25140,29464,33707,38154,41889,47792,51589,55223,60707,65048,73729,78962,84246,88586,93838,98438,103055,108652,114177,120027,124701,129002,133451,138034,143420,148333,152796,157099,161095,165167,171199,177400,182202,186541
224,,Uruguay,-32.5228,-55.7658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,29,50,79,94,110,158,162,162,189,217,238,274,303,309,296,295,284,297,302,302,296,267,267,257,260,273,242,241,227,224,207,207,205,209,212,211,207,191,182,212,216,219,216,203,209,196,195,196
225,,US,37.0902,-95.7129,1,1,2,2,5,5,5,5,5,7,8,8,11,11,11,11,11,11,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,46,45,51,52,53,60,66,85,104,131,198,241,378,490,554,923,1237,1610,2118,2657,3414,4516,6271,7514,13368,18777,24982,32512,42879,52380,64101,81429,98523,117662,134824,151995,175781,198267,226700,256414,283143,306979,332842,359167,386825,417115,445412,470784,496239,509267,529645,551520,578062,603750,627604,647527,669338,691575,715573,739243,754786,784027,803916,820514,838291,858222,852481,874503,890788,910206
226,,Uzbekistan,41.3775,64.5853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,10,15,23,33,43,43,46,50,60,75,82,97,135,140,163,167,178,200,239,310,425,488,512,541,579,721,795,909,1062,1191,1216,1245,1291,1335,1361,1315,1259,1190,1175,1147,1072,1004,939,897,897,865,838,820
227,,Venezuela,6.4238,-66.5897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,17,33,36,42,42,70,55,62,69,76,92,75,78,78,93,93,99,98,94,96,100,93,93,93,78,78,73,79,70,70,77,84,84,105,130,130,158,156,175,176,181,178,177,177,179,175,177,187,189
228,,Vietnam,16.0,108.0,0,2,2,2,2,2,2,2,2,2,5,5,7,7,7,9,9,12,12,13,9,9,9,9,9,9,9,9,9,9,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,14,14,15,22,23,31,37,40,45,50,59,69,75,77,96,106,117,124,133,143,153,163,148,154,155,158,152,150,151,150,126,125,127,113,114,118,119,97,96,91,70,67,66,54,52,45,44,50,45,45,45,48,48,51,51,51,52
229,,Zambia,-15.4167,28.2833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,12,16,22,28,29,35,35,36,38,36,36,35,33,31,31,14,13,10,11,13,13,16,16,20,22,25,27,32,36,36,44,44,43,43,50,40,48,32,41,43
230,,Zimbabwe,-20.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,2,2,2,4,6,6,6,7,7,8,8,8,8,9,9,8,8,10,11,11,14,14,19,19,19,20,20,20,23,22,22,23,25,25,23,23,23,31,31,25,25
232,,Dominica,15.415,-61.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,7,11,11,11,11,11,12,12,12,12,14,14,14,14,14,14,11,11,8,8,8,8,8,8,8,8,8,8,7,7,6,3,3,3,3,3,3,3,3,3
233,,Grenada,12.1165,-61.678999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,7,7,9,9,9,9,10,12,12,12,12,12,12,12,14,14,14,14,14,14,14,8,8,8,8,8,9,9,8,11,11,11,9,7,7,7,8,8
234,,Mozambique,-18.665695,35.529562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,7,7,8,8,8,8,10,10,10,9,9,9,9,16,16,18,18,19,19,26,27,29,32,31,31,31,31,33,37,53,58,64,64,64,64,64,67,61,61
235,,Syria,34.802075,38.99681500000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,5,8,8,8,8,14,14,12,15,15,14,13,13,13,18,18,18,22,26,26,31,31,31,31,33,33,33,33,28,26,21,19,19,19,14,14,14
236,,Timor-Leste,-8.874217,125.727539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,7,17,17,17,18,21,22,22,22,22,22,22,22,18,18,8,8,8,8
237,,Belize,13.1939,-59.5432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,4,4,5,6,6,7,8,8,11,12,16,16,16,16,16,16,14,14,14,14,11,11,11,11,10,7,7,7,3,3,3
239,,Laos,19.856270000000002,102.495496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,6,8,8,8,9,10,10,10,10,11,12,14,15,16,16,18,19,19,18,18,17,17,17,17,17,17,15,15,15,12,12,12,12,12,11,11,10,10
240,,Libya,26.3351,17.228331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,8,8,9,10,10,10,17,17,17,18,12,15,15,15,15,16,25,38,37,37,37,39,35,35,43,43,41,41,41,41,41,41,40,42,38,38
241,,West Bank and Gaza,31.9522,35.2332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,16,16,19,26,30,30,31,35,38,38,39,41,44,30,31,35,42,42,42,66,73,79,90,97,100,115,142,172,195,211,229,218,218,218,220,209,230,248,244,309,309,331,347,363,375,391,399,384,388,248,257,257,270,271,266,275,275,274
242,,Guinea-Bissau,11.8037,-15.1804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,8,8,9,9,15,18,18,18,33,33,36,36,38,38,38,38,43,43,43,46,47,47,47,47,47,49,49,49,54,54,185,185,237,237,237
243,,Mali,17.570692,-3.996166000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11,18,17,23,26,28,33,36,37,39,33,39,36,45,58,58,74,87,97,101,124,124,162,168,176,187,203,211,217,258,254,272,278,328,329,286,312,323
244,,Saint Kitts and Nevis,17.357822,-62.782998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,7,8,8,9,9,9,10,10,11,11,11,12,12,12,12,14,14,14,14,14,14,15,15,14,14,13,13,13,13,11,11,9,7,7,7
247,,Kosovo,42.602636,20.902977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,84,89,92,92,105,114,114,115,118,121,121,142,149,149,191,218,218,218,313,313,359,384,405,447,460,458,474,491,522,546,576,557,536,528,513,513,465,448
248,,Burma,21.9162,95.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,14,14,14,19,19,20,20,21,21,19,18,22,33,35,56,57,68,79,79,88,99,107,109,111,125,130,131,131,125,129,117,118,114,108,106
249,Anguilla,United Kingdom,18.2206,-63.0686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0
250,British Virgin Islands,United Kingdom,18.4207,-64.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
251,Turks and Caicos Islands,United Kingdom,21.69400000000001,-71.7979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,6,5,5,5,4,7,7,7,7,7,7,8,9,9,9,10,10,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6
252,,MS Zaandam,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
253,,Botswana,-22.3285,24.6849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,5,5,5,5,12,12,12,12,12,12,12,14,14,14,19,19,19,21,21,21,21,21,21,22,17,17,14,14,14
